g	Ground State Energy	Second Derivative	Theory	Theory Second Derivative
0.04	-0.500062	-0.0781056	-0.50005	-0.0625391
0.08	-0.50025	-0.0781056	-0.5002	-0.0625391
0.12	-0.500562	-0.0780825	-0.50045	-0.0625861
0.16	-0.501	-0.0780506	-0.5008	-0.0626522
0.2	-0.501562	-0.0780104	-0.501251	-0.0627375
0.24	-0.502249	-0.0779624	-0.501802	-0.0628422
0.28	-0.503061	-0.0779073	-0.502453	-0.0629668
0.32	-0.503998	-0.0778458	-0.503205	-0.0631115
0.36	-0.505059	-0.0777789	-0.504058	-0.0632769
0.4	-0.506244	-0.0777075	-0.505013	-0.0634635
0.44	-0.507554	-0.0776327	-0.506069	-0.0636718
0.48	-0.508988	-0.0775557	-0.507226	-0.0639027
0.52	-0.510546	-0.0774778	-0.508486	-0.0641568
0.56	-0.512228	-0.0774002	-0.509849	-0.0644351
0.6	-0.514034	-0.0773244	-0.511315	-0.0647386
0.64	-0.515964	-0.0772518	-0.512884	-0.0650684
0.68	-0.518017	-0.077184	-0.514558	-0.0654257
0.72	-0.520194	-0.0771226	-0.516336	-0.065812
0.76	-0.522494	-0.0770691	-0.518219	-0.0662288
0.8	-0.524917	-0.0770252	-0.520209	-0.066678
0.84	-0.527464	-0.0769926	-0.522305	-0.0671614
0.88	-0.530134	-0.076973	-0.524508	-0.0676814
0.92	-0.532927	-0.0769681	-0.52682	-0.0682404
0.96	-0.535843	-0.0769797	-0.529241	-0.0688413
1	-0.538882	-0.0770094	-0.531772	-0.0694873
1.04	-0.542045	-0.0770589	-0.534415	-0.0701821
1.08	-0.545331	-0.0771298	-0.537169	-0.0709299
1.12	-0.54874	-0.0772235	-0.540037	-0.0717354
1.16	-0.552273	-0.0773414	-0.54302	-0.0726042
1.2	-0.555929	-0.0774846	-0.546119	-0.0735427
1.24	-0.55971	-0.0776538	-0.549336	-0.0745584
1.28	-0.563615	-0.0778494	-0.552672	-0.0756599
1.32	-0.567644	-0.0780712	-0.556129	-0.0768578
1.36	-0.571798	-0.0783183	-0.559709	-0.0781644
1.4	-0.576078	-0.0785891	-0.563414	-0.0795946
1.44	-0.580483	-0.0788807	-0.567247	-0.0811666
1.48	-0.585015	-0.0791893	-0.571209	-0.0829031
1.52	-0.589673	-0.0795091	-0.575304	-0.0848321
1.56	-0.594458	-0.0798333	-0.579535	-0.0869896
1.6	-0.599371	-0.0801525	-0.583905	-0.0894223
1.64	-0.604413	-0.0804559	-0.588418	-0.0921927
1.68	-0.609583	-0.0807302	-0.593078	-0.095386
1.72	-0.614882	-0.0809602	-0.597891	-0.0991237
1.76	-0.620311	-0.0811287	-0.602863	-0.103586
1.8	-0.62587	-0.0812167	-0.608	-0.109058
1.84	-0.631558	-0.0812042	-0.613312	-0.116028
1.88	-0.637377	-0.0810707	-0.61881	-0.125441
1.92	-0.643325	-0.0807959	-0.624508	-0.139559
1.96	-0.649403	-0.0803606	-0.63043	-0.167734
2	-0.655609	-0.0797481	-0.63662	-0.218522
2.04	-0.661942	-0.0789447	-0.643159	-0.159209
2.08	-0.668402	-0.0779412	-0.649954	-0.125459
2.12	-0.674987	-0.0767332	-0.656949	-0.107053
2.16	-0.681695	-0.0753216	-0.664115	-0.094126
2.2	-0.688523	-0.073713	-0.671432	-0.0841908
2.24	-0.695469	-0.0719195	-0.678884	-0.0761697
2.28	-0.70253	-0.0699579	-0.686457	-0.0694881
2.32	-0.709703	-0.0678493	-0.694142	-0.0638002
2.36	-0.716984	-0.0656175	-0.701929	-0.0588799
2.4	-0.724371	-0.0632887	-0.70981	-0.0545707
2.44	-0.731858	-0.0608895	-0.717778	-0.0507595
2.48	-0.739443	-0.0584464	-0.725827	-0.0473616
2.52	-0.747122	-0.0559846	-0.733953	-0.0443116
2.56	-0.75489	-0.0535275	-0.742149	-0.0415585
2.6	-0.762744	-0.051096	-0.750412	-0.0390609
2.64	-0.77068	-0.0487081	-0.758737	-0.0367855
2.68	-0.778694	-0.0463788	-0.767121	-0.0347046
2.72	-0.786781	-0.0441204	-0.77556	-0.0327951
2.76	-0.79494	-0.0419423	-0.784052	-0.0310377
2.8	-0.803165	-0.0398512	-0.792594	-0.0294156
2.84	-0.811454	-0.0378517	-0.801183	-0.0279148
2.88	-0.819804	-0.0359463	-0.809816	-0.0265229
2.92	-0.828212	-0.0341359	-0.818492	-0.0252294
2.96	-0.836674	-0.0324199	-0.827208	-0.0240249
3	-0.845187	-0.0307968	-0.835963	-0.0229013
3.04	-0.853751	-0.0292641	-0.844754	-0.0218513
3.08	-0.86236	-0.0278186	-0.853581	-0.0208686
3.12	-0.871015	-0.0264569	-0.86244	-0.0199474
3.16	-0.879712	-0.025175	-0.871332	-0.0190828
3.2	-0.888449	-0.0239689	-0.880254	-0.0182701
3.24	-0.897224	-0.0228345	-0.889205	-0.0175053
